XDAC V1.4 Datafile V1
"srmndead.006" created on 2/6/09 at 10:38:38 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 6539.00
NUM_REGIONS= 3
SRB= -50 -10 30 100
SRSS= 1 .3 1
SPP= 1 1 1
Settling time= 0.10


Offsets= 120.90 86.30 0.00 0.00 1.00 0.00 1.00 1.00 2.00 1.00 1.00 1.00 1.00 1.00
Gains= 8.00 9.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00



--------------------------------------------------------------------------------
        Energy            I0            It          If20          If21          If22          If23          If24          If25          If26          If27          If30          If31          If32          If33
    6544.90122    12366.1000      815.7000    58880.0000    55950.0000    30474.0000    34570.0000   101933.0000   101053.0000    67283.0000    69324.0000   106783.0000   108255.0000    69026.0000    71581.0000
    6545.19931    12390.1000      819.7000    59554.0000    56478.0000    30927.0000    34921.0000   102667.0000   102321.0000    67665.0000    69665.0000   107685.0000   109533.0000    69479.0000    71983.0000
    6545.50155    12435.1000      818.7000    60617.0000    56985.0000    30707.0000    34885.0000   103813.0000   102186.0000    67740.0000    70375.0000   108948.0000   109558.0000    69435.0000    72624.0000
    6545.79967    12522.1000      818.7000    61417.0000    58373.0000    31658.0000    35905.0000   105259.0000   104123.0000    68736.0000    71519.0000   110564.0000   111500.0000    70589.0000    73962.0000
    6546.10195    12566.1000      817.7000    62462.0000    59060.0000    32162.0000    36557.0000   106802.0000   105111.0000    69411.0000    72159.0000   112145.0000   112837.0000    71307.0000    74674.0000
    6546.40012    12566.1000      817.7000    62052.0000    59001.0000    32378.0000    36830.0000   106119.0000   105547.0000    69648.0000    73454.0000   111433.0000   113169.0000    71529.0000    76058.0000
    6546.69830    12564.1000      816.7000    63171.0000    59159.0000    32495.0000    36813.0000   107382.0000   105614.0000    70024.0000    72508.0000   112716.0000   113316.0000    71854.0000    75017.0000
    6547.00064    12562.1000      815.7000    64405.0000    60257.0000    33235.0000    37761.0000   108888.0000   106739.0000    70523.0000    73855.0000   114385.0000   114694.0000    72512.0000    76492.0000
    6547.29887    12561.1000      812.7000    67068.0000    63424.0000    34511.0000    39012.0000   112276.0000   110186.0000    72193.0000    75258.0000   118201.0000   118481.0000    74358.0000    77981.0000
    6547.60125    12564.1000      806.7000    71485.0000    67614.0000    36755.0000    41975.0000   117308.0000   115066.0000    75044.0000    78415.0000   123834.0000   124061.0000    77307.0000    81398.0000
    6547.89952    12566.1000      800.7000    76736.0000    72725.0000    40118.0000    45045.0000   123448.0000   121381.0000    79030.0000    82293.0000   130881.0000   131349.0000    81486.0000    85576.0000
    6548.20194    12564.1000      792.7000    82048.0000    78286.0000    43112.0000    48970.0000   129951.0000   127604.0000    82601.0000    86584.0000   138134.0000   138295.0000    85290.0000    90180.0000
    6548.50025    12569.1000      783.7000    89951.0000    84811.0000    47002.0000    53120.0000   139135.0000   135355.0000    87024.0000    91925.0000   148621.0000   147214.0000    89948.0000    96039.0000
    6548.79857    12568.1000      770.7000    99862.0000    94732.0000    52843.0000    59835.0000   151220.0000   147196.0000    93918.0000    99374.0000   162591.0000   161219.0000    97479.0000   104124.0000
    6549.10106    12569.1000      758.7000   108886.0000   103140.0000    57515.0000    65065.0000   161517.0000   157004.0000    99949.0000   105773.0000   174805.0000   172874.0000   104023.0000   111259.0000
    6549.39943    12571.1000      750.7000   115869.0000   109026.0000    61582.0000    69624.0000   169753.0000   164393.0000   104565.0000   110836.0000   184817.0000   181527.0000   109010.0000   116976.0000
    6549.70196    12572.1000      744.7000   120788.0000   113816.0000    64702.0000    73042.0000   175481.0000   169807.0000   107820.0000   115178.0000   191537.0000   188099.0000   112782.0000   121747.0000
    6550.00036    12575.1000      739.7000   123513.0000   116653.0000    66156.0000    74950.0000   178445.0000   172360.0000   109774.0000   117150.0000   195580.0000   191536.0000   114899.0000   123868.0000
    6550.29879    12574.1000      737.7000   125613.0000   119121.0000    67891.0000    76099.0000   181509.0000   175739.0000   111682.0000   118558.0000   198896.0000   195406.0000   116914.0000   125583.0000
    6550.60138    12577.1000      735.7000   127810.0000   120778.0000    68752.0000    77146.0000   183987.0000   178233.0000   113097.0000   120371.0000   202066.0000   198337.0000   118485.0000   127627.0000
    6550.89984    12580.1000      732.7000   130295.0000   123010.0000    70222.0000    79118.0000   187012.0000   180779.0000   114791.0000   122562.0000   205974.0000   201478.0000   120407.0000   130052.0000
    6551.19833    12583.1000      729.7000   132621.0000   125620.0000    71371.0000    80556.0000   189600.0000   183542.0000   116090.0000   124051.0000   209058.0000   205218.0000   121760.0000   131647.0000
    6551.50098    12580.1000      723.7000   136472.0000   129215.0000    73548.0000    83291.0000   194265.0000   188316.0000   118881.0000   127212.0000   214947.0000   210714.0000   124876.0000   135544.0000
    6551.79951    12584.1000      716.7000   142026.0000   133987.0000    77268.0000    86860.0000   200431.0000   193353.0000   123385.0000   131357.0000   222646.0000   217009.0000   129939.0000   140213.0000
    6552.09805    12583.1000      709.7000   146174.0000   138762.0000    80469.0000    90445.0000   206044.0000   198781.0000   127224.0000   135666.0000   229702.0000   224315.0000   134097.0000   144865.0000
    6552.40077    12587.1000      700.7000   152150.0000   144689.0000    83980.0000    94803.0000   213415.0000   206421.0000   131153.0000   140602.0000   238638.0000   233342.0000   138846.0000   150432.0000
    6552.69935    12590.1000      688.7000   160724.0000   152646.0000    89522.0000   100228.0000   223506.0000   216042.0000   137829.0000   147717.0000   251992.0000   245848.0000   146296.0000   158739.0000
    6552.99796    12590.1000      669.7000   172994.0000   164762.0000    97373.0000   108549.0000   238300.0000   230313.0000   147142.0000   156864.0000   271459.0000   264553.0000   157140.0000   169862.0000
    6553.30074    12594.1000      650.7000   185062.0000   176022.0000   105062.0000   117469.0000   253012.0000   243652.0000   156334.0000   167959.0000   291485.0000   282752.0000   168023.0000   182870.0000
    6553.59938    12597.1000      636.7000   194385.0000   184966.0000   110695.0000   123723.0000   263939.0000   254328.0000   163515.0000   175564.0000   307305.0000   297555.0000   176265.0000   192101.0000
    6553.89805    12599.1000      617.7000   204670.0000   196471.0000   118205.0000   132739.0000   277512.0000   267683.0000   172730.0000   186134.0000   326701.0000   316516.0000   187222.0000   204910.0000
    6554.20089    12598.1000      590.7000   219914.0000   210385.0000   129692.0000   144292.0000   296063.0000   285582.0000   186984.0000   200605.0000   354660.0000   341198.0000   204291.0000   222913.0000
    6554.49959    12598.1000      567.7000   232805.0000   223728.0000   138970.0000   154628.0000   311670.0000   300981.0000   198719.0000   212992.0000   378065.0000   364112.0000   218468.0000   238577.0000
    6554.79832    12599.1000      536.7000   247566.0000   238337.0000   151256.0000   168379.0000   331716.0000   319962.0000   213980.0000   230077.0000   409772.0000   393791.0000   236622.0000   260516.0000
    6555.10122    12600.1000      505.7000   262995.0000   255188.0000   163799.0000   182311.0000   351281.0000   339351.0000   229331.0000   246931.0000   442710.0000   425339.0000   255553.0000   282588.0000
    6555.39999    12604.1000      474.7000   276824.0000   268428.0000   175926.0000   196329.0000   368996.0000   356596.0000   244382.0000   263307.0000   474818.0000   454987.0000   275364.0000   304807.0000
