 &SRS
 SRSRUN=94731,SRSDAT=021011,SRSTIM=074620,
 SRSSTN='exf9',SRSPRJ='xrsws9p2',SRSEXP='exafs   ',
 SRSTLE='CuO standard                                                '
 SRSCN1='94.3 ma ',SRSCN2='11.10.02',SRSCN3='14.1 hr ',
 &END
      1586.00       1427.00       1655.00       1657.00 
      1688.00          0.00          0.00          0.00 
      5905.00       3651.00       3793.00       4347.00 
      9009.00       3894.00       3867.00          0.00 
      3815.00       3268.00       3538.00       4534.00 
      3693.00          0.00          0.00          0.00 
     12734.72       939.51     28425.00     34657.00     21183.00    504582.00
      1998.00       1871.00       1797.00       1799.00 
      1733.00       1818.00       1799.00          0.00 
      1671.00       1583.00       1710.00       1698.00 
      1706.00          0.00          0.00          0.00 
      6395.00       3653.00       3794.00       4520.00 
      9510.00       4039.00       3869.00          0.00 
      3962.00       3469.00       3743.00       4417.00 
      3653.00          0.00          0.00          0.00 
     12733.31       939.51     28359.00     34520.00     22772.00    503500.00
      2105.00       1945.00       1995.00       1955.00 
      1854.00       1950.00       1840.00          0.00 
      1806.00       1722.00       1834.00       1921.00 
      1845.00          0.00          0.00          0.00 
      6862.00       3967.00       4123.00       4741.00 
      9923.00       4052.00       4147.00          0.00 
      4077.00       3584.00       3795.00       4562.00 
      3785.00          0.00          0.00          0.00 
     12731.90       939.51     28374.00     34512.00     24197.00    503554.00
      2263.00       2052.00       2024.00       2101.00 
      1953.00       2119.00       2107.00          0.00 
      1899.00       1773.00       1965.00       2039.00 
      1902.00          0.00          0.00          0.00 
      7432.00       4028.00       4129.00       5017.00 
     10516.00       4305.00       4388.00          0.00 
      4350.00       3655.00       4012.00       4527.00 
      3931.00          0.00          0.00          0.00 
     12730.49       939.51     28398.00     34467.00     26042.00    504159.00
      2413.00       2194.00       2239.00       2127.00 
      2152.00       2225.00       2291.00          0.00 
      2072.00       2015.00       2106.00       2166.00 
      2042.00          0.00          0.00          0.00 
      7159.00       4155.00       4394.00       5045.00 
     10701.00       4426.00       4580.00          0.00 
      4445.00       3882.00       4273.00       4571.00 
      4074.00          0.00          0.00          0.00 
     12729.08       939.51     28366.00     34345.00     28141.00    502573.00
      2498.00       2416.00       2385.00       2321.00 
      2398.00       2435.00       2352.00          0.00 
      2297.00       2102.00       2333.00       2316.00 
      2288.00          0.00          0.00          0.00 
      6311.00       4436.00       4602.00       5178.00 
     10629.00       4764.00       4685.00          0.00 
      4740.00       4123.00       4529.00       4690.00 
      4410.00          0.00          0.00          0.00 
     12727.67       939.51     28396.00     34264.00     31089.00    501830.00
      2931.00       2692.00       2632.00       2593.00 
      2514.00       2658.00       2716.00          0.00 
      2480.00       2327.00       2529.00       2523.00 
      2494.00          0.00          0.00          0.00 
      6551.00       4817.00       4851.00       5768.00 
     11478.00       4980.00       5138.00          0.00 
      5074.00       4432.00       4707.00       5087.00 
      4674.00          0.00          0.00          0.00 
     12726.26       939.51     28438.00     34175.00     34089.00    501221.00
      3081.00       2953.00       2914.00       2763.00 
      2904.00       2947.00       2955.00          0.00 
      2731.00       2659.00       2721.00       2738.00 
      2723.00          0.00          0.00          0.00 
      6244.00       5039.00       5292.00       5948.00 
     11907.00       5300.00       5459.00          0.00 
      5324.00       4824.00       4918.00       5401.00 
      5005.00          0.00          0.00          0.00 
     12724.85       939.51     28396.00     33919.00     38658.00    498316.00
      3602.00       3294.00       3223.00       3366.00 
      3114.00       3285.00       3242.00          0.00 
      3160.00       2974.00       3144.00       3248.00 
      3006.00          0.00          0.00          0.00 
      6984.00       5559.00       5680.00       6748.00 
     12924.00       5719.00       5861.00          0.00 
      5902.00       5233.00       5463.00       5966.00 
      5482.00          0.00          0.00          0.00 
     12723.44       939.51     28343.00     33512.00     46018.00    492404.00
      4143.00       4029.00       3963.00       3915.00 
      3838.00       3876.00       3861.00          0.00 
      3720.00       3499.00       3621.00       3783.00 
      3770.00          0.00          0.00          0.00 
     10333.00       6398.00       6626.00       7921.00 
     15738.00       6509.00       6609.00          0.00 
      6672.00       5938.00       6133.00       6578.00 
      6333.00          0.00          0.00          0.00 
     12722.03       939.51     28428.00     33112.00     55946.00    488464.00
      5022.00       4910.00       4839.00       4715.00 
      4635.00       4844.00       4714.00          0.00 
      4351.00       4227.00       4605.00       4690.00 
      4394.00          0.00          0.00          0.00 
     10388.00       7647.00       7823.00       9103.00 
     17676.00       7705.00       7738.00          0.00 
      7624.00       6825.00       7250.00       7492.00 
      7129.00          0.00          0.00          0.00 
     12720.62       939.51     28424.00     32705.00     63727.00    482804.00
      5738.00       5429.00       5460.00       5290.00 
      5262.00       5444.00       5493.00          0.00 
      5147.00       4815.00       5309.00       5271.00 
      5069.00          0.00          0.00          0.00 
     11539.00       8251.00       8606.00      10015.00 
     19487.00       8590.00       8660.00          0.00 
      8647.00       7560.00       8197.00       8161.00 
      8050.00          0.00          0.00          0.00 
     12719.21       939.51     28414.00     32185.00     73933.00    475641.00
      6527.00       6391.00       6298.00       6176.00 
      6151.00       6435.00       6285.00          0.00 
      5956.00       5585.00       6007.00       6003.00 
      6119.00          0.00          0.00          0.00 
     11079.00       9402.00       9698.00      11348.00 
     21213.00       9809.00       9696.00          0.00 
      9804.00       8628.00       9110.00       9057.00 
      9445.00          0.00          0.00          0.00 
