Energy	INTENSITY
11.8858	0.0088730529
11.8893	0.0088783335
11.8928	0.0088880016
11.8963	0.0089042429
11.8999	0.0089195035
11.9035	0.0089449119
11.9071	0.0089525934
11.9107	0.0089541618
11.9144	0.0089631248
11.918	0.0089896526
11.9217	0.0089771934
11.9254	0.0089708306
11.9291	0.0089821387
11.9329	0.0089488402
11.9366	0.0089357514
11.9404	0.0089466432
11.9442	0.008940855
11.948	0.0089296307
11.9519	0.0089104045
11.9557	0.0089208093
11.9596	0.0089076199
11.9635	0.0089071635
11.9674	0.008926753
11.9713	0.0089131175
11.9753	0.0089197187
11.9792	0.0089358911
11.9832	0.0089534502
11.9872	0.0089517217
