XDAC V1.2 Datafile V1
"fe.060" created on 10/3/02 at 10:20:36 PM on X-11A
Ring energy= 2.58 GeV
E0= 7112.00
NUM_REGIONS= 3
SRB= -200 -20 20 22k
SRSS= 5 0.5 0.05k
SPP= 2 2 2
Settling time= 0.50


Offsets= 9925.80 9914.40
Gains= 7.00 7.00
Iron foil, I0: 50%N2, It:N2


--------------------------------------------------------------------------------
        Energy    Enkev         I0            It
    7322.95448    7.32295448    34656.4000     3373.2000
    7325.80448    7.32580448    34627.4000     3392.2000
    7328.68532    7.32868532    34535.4000     3476.2000
    7331.53996    7.33153996    34525.4000     3581.2000
    7334.45407    7.33445407    34487.4000     3626.2000
    7337.37059    7.33737059    34421.4000     3569.2000
    7340.31816    7.34031816    34393.4000     3402.2000
    7343.26818    7.34326818    34322.4000     3182.2000
    7346.24935    7.34624935    34321.4000     2976.2000
    7349.26173    7.34926173    34238.4000     2788.2000
    7352.27668    7.35227668    34145.4000     2614.2000
    7355.29420    7.35529420    34180.4000     2481.2000
    7358.34308    7.35834308    34148.4000     2388.2000
    7361.42338    7.36142338    34141.4000     2368.2000
    7364.53518    7.36453518    34096.4000     2415.2000
    7367.62087    7.36762087    34057.4000     2548.2000
    7370.76700    7.37076700    33989.4000     2819.2000
    7373.91592    7.37391592    33949.4000     3245.2000
    7377.06764    7.37706764    33922.4000     3698.2000
    7380.28006    7.38028006    33911.4000     3947.2000
    7383.46642    7.38346642    33884.4000     3954.2000
    7386.71364    7.38671364    33847.4000     3844.2000
    7389.93480    7.38993480    33829.4000     3721.2000
    7393.21699    7.39321699    33790.4000     3644.2000
    7396.50222    7.39650222    33710.4000     3637.2000
    7399.79047    7.39979047    33201.4000     3581.2000
    7403.11091    7.40311091    34234.4000     3656.2000
    7406.46361    7.40646361    33964.4000     3591.2000
    7409.81946    7.40981946    33850.4000     3568.2000
    7413.17847    7.41317847    33776.4000     3586.2000
    7416.59915    7.41659915    33699.4000     3653.2000
    7419.99383    7.41999383    33627.4000     3753.2000
    7423.45034    7.42345034    33531.4000     3792.2000
    7426.88087    7.42688087    33436.4000     3775.2000
    7430.37342    7.43037342    33343.4000     3741.2000
    7433.86938    7.43386938    33249.4000     3636.2000
    7437.36876    7.43736876    33199.4000     3463.2000
    7440.90100    7.44090100    33145.4000     3286.2000
    7444.43674    7.44443674    33094.4000     3172.2000
    7448.00547    7.44800547    33046.4000     3142.2000
    7451.60729    7.45160729    33007.4000     3159.2000
    7455.21272    7.45521272    32973.4000     3188.2000
    7458.85138    7.45885138    32939.4000     3263.2000
    7462.49373    7.46249373    32940.4000     3401.2000
    7466.13977    7.46613977    32940.4000     3555.2000
    7469.81919    7.46981919    32951.4000     3675.2000
    7473.53210    7.47353210    32963.4000     3759.2000
    7477.24885    7.47724885    32935.4000     3859.2000
    7480.99921    7.48099921    32930.4000     4004.2000
    7484.75347    7.48475347    32830.4000     4122.2000
    7488.54149    7.48854149    32790.4000     4190.2000
    7492.33349    7.49233349    32786.4000     4173.2000
	      
    7496.12948    7.49612948    32750.4000     4103.2000
    7499.98933    7.49998933    32680.4000     4030.2000
    7503.82334    7.50382334    32613.4000     3985.2000
    7507.69142    7.50769142    32535.4000     3982.2000
    7511.59367    7.51159367    32465.4000     4011.2000
    7515.50013    7.51550013    32412.4000     4023.2000
    7519.44090    7.51944090    32392.4000     4011.2000
    7523.38596    7.52338596    32398.4000     3979.2000
    7527.36549    7.52736549    32419.4000     3953.2000
    7531.34938    7.53134938    32451.4000     3971.2000
    7535.33765    7.53533765    32468.4000     4019.2000
    7539.39083    7.53939083    32476.4000     4072.2000
    7543.41823    7.54341823    32520.4000     4117.2000
    7547.48043    7.54748043    32500.4000     4095.2000
    7551.57754    7.55157754    32485.4000     4004.2000
    7555.67926    7.55567926    32478.4000     3897.2000
    7559.78560    7.55978560    32444.4000     3841.2000
    7563.92704    7.56392704    32397.4000     3867.2000
    7568.10369    7.56810369    32170.4000     3940.2000
    7572.28512    7.57228512    32255.4000     4098.2000
    7576.47135    7.57647135    32180.4000     4239.2000
    7580.69299    7.58069299    32082.4000     4332.2000
    7584.91951    7.58491951    32015.4000     4374.2000
    7589.18159    7.58918159    31919.4000     4368.2000
    7593.44864    7.59344864    31827.4000     4330.2000
    7597.75142    7.59775142    31713.4000     4303.2000
    7602.05926    7.60205926    31419.4000     4297.2000
    7606.37216    7.60637216    31646.4000     4402.2000
    7610.72099    7.61072099    31538.4000     4444.2000
    7615.10588    7.61510588    31539.4000     4428.2000
    7619.49601    7.61949601    31488.4000     4359.2000
    7623.89139    7.62389139    31398.4000     4315.2000
    7628.32303    7.62832303    31341.4000     4337.2000
    7632.76001    7.63276001    31133.4000     4388.2000
    7637.23343    7.63723343    31200.4000     4496.2000
    7641.71229    7.64171229    31078.4000     4562.2000
    7646.22774    7.64622774    31096.4000     4613.2000
    7650.74873    7.65074873    30576.4000     4560.2000
    7655.27526    7.65527526    30999.4000     4636.2000
    7659.83862    7.65983862    30958.4000     4609.2000
    7664.40761    7.66440761    30980.4000     4567.2000
    7669.01361    7.66901361    30927.4000     4512.2000
    7673.62534    7.67362534    30933.4000     4473.2000
    7678.27425    7.67827425    30892.4000     4441.2000
    7682.92900    7.68292900    30848.4000     4458.2000
    7687.58960    7.68758960    30778.4000     4510.2000
    7692.28760    7.69228760    30687.4000     4565.2000
    7696.99156    7.69699156    30618.4000     4605.2000
    7701.73310    7.70173310    30546.4000     4638.2000
    7706.48069    7.70648069    30383.4000     4672.2000
    7711.23435    7.71123435    30672.4000     4791.2000
    7716.02584    7.71602584    30407.4000     4822.2000
    7720.82349    7.72082349    30287.4000     4842.2000
    7725.65916    7.72565916    30210.4000     4829.2000
    7730.50110    7.73050110    30148.4000     4817.2000
    7735.38124    7.73538124    30114.4000     4820.2000
    7740.26777    7.74026777    30091.4000     4843.2000
    7745.16069    7.74516069    30147.4000     4870.2000
    7750.06001    7.75006001    29519.4000     4770.2000
    7755.02992    7.75502992    27643.4000     4486.2000
    7759.97431    7.75997431    28181.4000     4619.2000
    7764.95739    7.76495739    28691.4000     4768.2000
    7769.94710    7.76994710    28729.4000     4835.2000
    7774.97571    7.77497571    28703.4000     4868.2000
    7780.01105    7.78001105    28663.4000     4895.2000
    7785.05314    7.78505314    28611.4000     4920.2000
    7790.13439    7.79013439    28612.4000     4949.2000
    7795.22250    7.79522250    28630.4000     4960.2000
    7800.34997    7.80034997    28708.4000     4973.2000
    7805.45190    7.80545190    28740.4000     4975.2000
    7810.62587    7.81062587    28694.4000     4977.2000
    7815.77432    7.81577432    28618.4000     4985.2000
    7820.96245    7.82096245    27648.4000     4837.2000
    7826.19041    7.82619041    28619.4000     5024.2000
    7831.39285    7.83139285    28548.4000     5021.2000
    7836.63525    7.83663525    28515.4000     5035.2000
    7841.91773    7.84191773    28475.4000     5058.2000
    7847.20759    7.84720759    28424.4000     5077.2000
    7852.50483    7.85250483    28406.4000     5102.2000
    7857.80947    7.85780947    28342.4000     5137.2000
    7863.15454    7.86315454    28279.4000     5182.2000
    7868.50713    7.86850713    28210.4000     5215.2000
    7873.90037    7.87390037    28129.4000     5252.2000
    7879.30126    7.87930126    28016.4000     5275.2000
    7884.70981    7.88470981    27987.4000     5304.2000
    7890.15930    7.89015930    27892.4000     5309.2000
    7895.61657    7.89561657    27697.4000     5312.2000
    7901.08166    7.90108166    27644.4000     5343.2000
    7906.55456    7.90655456    27577.4000     5357.2000
    7912.06876    7.91206876    27554.4000     5382.2000
    7917.62439    7.91762439    27513.4000     5409.2000
    7923.15456    7.92315456    27415.4000     5434.2000
    7928.72630    7.92872630    27298.4000     5439.2000
    7934.30614    7.93430614    27207.4000     5420.2000
    7939.92779    7.93992779    27160.4000     5415.2000
    7945.55767    7.94555767    27118.4000     5432.2000
    7951.19581    7.95119581    27100.4000     5463.2000
    7956.84222    7.95684222    27016.4000     5483.2000
    7962.53080    7.96253080    26958.4000     5492.2000
    7968.22780    7.96822780    26986.4000     5503.2000
    7973.96720    7.97396720    26980.4000     5501.2000
    7979.71515    7.97971515    26888.4000     5508.2000
    7985.47166    7.98547166    26928.4000     5561.2000
    7991.23676    7.99123676    26799.4000     5574.2000
    7997.04465    7.99704465    26646.4000     5573.2000
    8002.86126    8.00286126    26446.4000     5562.2000
    8008.68662    8.00868662    26282.4000     5564.2000
    8014.55508    8.01455508    26056.4000     5558.2000
    8020.43243    8.02043243    25892.4000     5558.2000
    8026.31868    8.02631868    25695.4000     5549.2000
    8032.21386    8.03221386    25529.4000     5550.2000
    8038.15254    8.03815254    25369.4000     5546.2000
    8044.10029    8.04410029    25129.4000     5531.2000
    8050.05714    8.05005714    25111.4000     5570.2000
    8056.05781    8.05605781    25038.4000     5596.2000
    8062.06771    8.06206771    24970.4000     5631.2000
    8068.08688    8.06808688    24861.4000     5662.2000
    8074.15021    8.07415021    24711.4000     5668.2000
    8080.18802    8.08018802    24601.4000     5672.2000
    8086.27014    8.08627014    24412.4000     5645.2000
    8092.39674    8.09239674    24369.4000     5637.2000
    8098.49785    8.09849785    24146.4000     5583.2000
    8104.64359    8.10464359    24002.4000     5565.2000
    8110.79897    8.11079897    23903.4000     5569.2000
    8116.99926    8.11699926    23726.4000     5569.2000
    8123.17402    8.12317402    23661.4000     5597.2000
    8129.39385    8.12939385    23617.4000     5615.2000
    8135.62351    8.13562351    23560.4000     5621.2000
    8141.89850    8.14189850    23474.4000     5626.2000
    8148.14795    8.14814795    23412.4000     5641.2000
    8154.44289    8.15444289    23321.4000     5653.2000
    8160.78353    8.16078353    23279.4000     5674.2000
    8167.09863    8.16709863    23240.4000     5690.2000
    8173.45958    8.17345958    23195.4000     5721.2000
    8179.83076    8.17983076    23145.4000     5757.2000
    8186.21219    8.18621219    23053.4000     5778.2000
    8192.60389    8.19260389    22750.4000     5737.2000
    8199.04188    8.19904188    22895.4000     5803.2000
    8205.49031    8.20549031    22772.4000     5804.2000
    8211.94921    8.21194921    22624.4000     5801.2000
    8218.41860    8.21841860    22485.4000     5804.2000
    8224.93473    8.22493473    22433.4000     5841.2000
    8231.46152    8.23146152    22407.4000     5877.2000
    8237.99900    8.23799900    22371.4000     5900.2000
    8244.54719    8.24454719    22354.4000     5920.2000
    8251.14258    8.25114258    22265.4000     5919.2000
    8257.71232    8.25771232    22173.4000     5915.2000
    8264.32945    8.26432945    22115.4000     5927.2000
    8270.99416    8.27099416    22009.4000     5931.2000
    8277.63324    8.27763324    21974.4000     5951.2000
    8284.32008    8.28432008    21925.4000     5971.2000
    8291.01807    8.29101807    21863.4000     5991.2000
    8297.72722    8.29772722    21819.4000     6009.2000
    8304.44757    8.30444757    21489.4000     5943.2000
    8311.17913    8.31117913    21713.4000     6030.2000
    8317.95903    8.31795903    21618.4000     6037.2000
    8324.75033    8.32475033    21454.4000     6029.2000
    8331.55306    8.33155306    21283.4000     6015.2000
    8338.40452    8.33840452    21156.4000     6015.2000
    8345.23026    8.34523026    21008.4000     6010.2000
    8352.10492    8.35210492    20958.4000     6035.2000
    8358.99124    8.35899124    20888.4000     6050.2000
    8365.88927    8.36588927    20826.4000     6064.2000
    8372.79903    8.37279903    20684.4000     6063.2000
    8379.75820    8.37975820    20734.4000     6119.2000
    8386.69158    8.38669158    20696.4000     6149.2000
    8393.67455    8.39367455    20615.4000     6162.2000
    8400.66951    8.40066951    20497.4000     6163.2000
    8407.67648    8.40767648    20454.4000     6183.2000
    8414.73346    8.41473346    20318.4000     6178.2000
    8421.80265    8.42180265    20364.4000     6225.2000
    8428.84596    8.42884596    20367.4000     6253.2000
    8435.93958    8.43593958    20423.4000     6299.2000
    8443.04550    8.44304550    20518.4000     6358.2000
    8450.20205    8.45020205    20577.4000     6409.2000
    8457.33273    8.45733273    20645.4000     6464.2000
    8464.51424    8.46451424    20591.4000     6489.2000
    8471.70830    8.47170830    20567.4000     6522.2000
    8478.91496    8.47891496    20469.4000     6525.2000
    8486.13424    8.48613424    20478.4000     6560.2000
    8493.36619    8.49336619    20472.4000     6597.2000
    8500.64959    8.50064959    20374.4000     6605.2000
    8507.94586    8.50794586    20329.4000     6632.2000
    8515.21611    8.51521611    20313.4000     6663.2000
    8522.53813    8.52253813    20249.4000     6681.2000
    8529.87311    8.52987311    20180.4000     6692.2000
    8537.26021    8.53726021    20106.4000     6708.2000
    8544.62129    8.54462129    20028.4000     6720.2000
    8552.03469    8.55203469    19950.4000     6732.2000
    8559.46133    8.55946133    19934.4000     6762.2000
    8566.86185    8.56686185    19911.4000     6792.2000
    8574.31501    8.57431501    19928.4000     6836.2000
    8581.82105    8.58182105    19914.4000     6871.2000
    8589.30100    8.58930100    19893.4000     6902.2000
    8596.79437    8.59679437    19800.4000     6910.2000
    8604.34094    8.60434094    19678.4000     6911.2000
    8611.90115    8.61190115    19471.4000     6878.2000
    8619.47502    8.61947502    19456.4000     6911.2000
    8627.06260    8.62706260    19428.4000     6935.2000
    8634.66392    8.63466392    19330.4000     6934.2000
    8642.27901    8.64227901    19245.4000     6935.2000
    8649.94812    8.64994812    19122.4000     6921.2000
    8657.59095    8.65759095    18971.4000     6901.2000
    8665.28802    8.66528802    18824.4000     6884.2000
    8672.99916    8.67299916    18533.4000     6814.2000
    8680.68393    8.68068393    18454.4000     6824.2000
    8688.42326    8.68842326    18414.4000     6843.2000
    8696.21741    8.69621741    18066.4000     6753.2000
    8703.98524    8.70398524    17895.4000     6725.2000
    8711.76733    8.71176733    17796.4000     6720.2000
    8719.60459    8.71960459    17639.4000     6696.2000
    8727.41541    8.72741541    17519.4000     6685.2000
    8735.28162    8.73528162    17462.4000     6701.2000
    8743.16242    8.74316242    17575.4000     6780.2000
    8751.05782    8.75105782    17337.4000     6720.2000
    8758.96789    8.75896789    17123.4000     6670.2000
    8766.89265    8.76689265    17254.4000     6756.2000
    8774.83215    8.77483215    16996.4000     6691.2000
    8782.82790    8.78282790    14785.4000     5854.2000
    8790.79708    8.79079708    17379.4000     6924.2000
    8798.82274    8.79882274    17089.4000     6847.2000
    8806.82176    8.80682176    16912.4000     6811.2000
    8814.87750    8.81487750    16738.4000     6777.2000
    8822.94838    8.82294838    16586.4000     6749.2000
    8831.03445    8.83103445    16346.4000     6684.2000
    8839.13575    8.83913575    16391.4000     6738.2000
    8847.25231    8.84725231    16161.4000     6682.2000
    8855.38419    8.85538419    16111.4000     6698.2000
    8863.53143    8.86353143    16033.4000     6703.2000
    8871.73639    8.87173639    15222.4000     6399.2000
    8879.91455    8.87991455    15724.4000     6642.2000
    8888.15068    8.88815068    15670.4000     6655.2000
    8896.35993    8.89635993    15529.4000     6632.2000
    8904.62741    8.90462741    15465.4000     6637.2000
    8912.91068    8.91291068    15340.4000     6617.2000
    8921.20976    8.92120976    15242.4000     6608.2000
    8929.52472    8.92952472    15296.4000     6665.2000
    8937.85559    8.93785559    15247.4000     6676.2000
    8946.20242    8.94620242    15193.4000     6687.2000
    8954.56525    8.95456525    15164.4000     6708.2000
    8962.94414    8.96294414    15103.4000     6716.2000
