#E_eV       mt_Step
   24871.65      0.06641
   24877.86      0.06541
   24884.06      0.06288
   24890.27       0.0589
   24895.92      0.05379
   24901.57      0.04789
   24908.35      0.04118
   24914.01      0.03458
   24919.95      0.02845
   24925.61      0.02408
   24931.55      0.02084
   24938.35       0.0183
   24944.02      0.01636
   24950.26      0.01493
   24955.65      0.01407
   24961.90      0.01351
   24968.14       0.0133
   24974.11      0.01399
   24980.08      0.01489
   24985.77      0.01528
   24992.03      0.01449
   24998.01       0.0122
   25004.27       0.0087
   25009.69      0.00482
   25015.68      0.00134
   25022.24     -0.00186
   25027.94      -0.0049
   25034.23     -0.00782
   25039.94     -0.01117
   25045.66     -0.01558
   25052.23     -0.02042
   25058.24     -0.02431
   25063.96     -0.02746
   25069.69     -0.03011
   25075.71     -0.03201
   25082.30     -0.03347
   25088.32     -0.03438
   25094.06     -0.03518
   25099.51     -0.03586
   25106.12      -0.0364
   25111.87     -0.03695
   25118.19     -0.03809
   25124.23     -0.04008
   25129.41     -0.04257
   25136.32     -0.04562
   25141.79     -0.04829
   25148.42     -0.05147
   25153.90     -0.05429
   25159.67     -0.05725
   25166.01     -0.05992
   25172.08     -0.06264
   25178.43     -0.06526
   25183.63      -0.0679
   25189.71     -0.07083
   25196.07     -0.07388
   25202.15     -0.07675
   25208.23     -0.07937
   25213.73     -0.08174
   25219.82     -0.08411
   25226.20     -0.08603
   25232.00     -0.08766
   25238.10     -0.08916
   25243.61     -0.09071
   25249.71     -0.09242
   25256.40     -0.09412
   25261.92     -0.09574
   25268.03     -0.09756
   25273.86     -0.09952
   25279.97      -0.1019
   25286.09     -0.10432
   25292.21     -0.10684
   25298.05     -0.10935
   25303.30     -0.11203
   25310.30     -0.11501
   25315.85     -0.11746
   25322.28     -0.12009
   25328.13      -0.1224
   25333.39     -0.12484
   25340.42     -0.12752
   25345.98     -0.12987
   25352.13     -0.13231
   25357.99     -0.13473
   25363.56     -0.13698
   25370.31     -0.13937
   25375.89      -0.1413
   25382.34     -0.14332
   25387.93     -0.14523
   25393.51     -0.14705
   25400.27     -0.14899
   25405.86     -0.15095
   25412.34     -0.15315
   25417.64     -0.15503
   25423.82     -0.15721
   25430.31     -0.15938
   25435.91     -0.16132
   25442.11     -0.16349
   25448.01     -0.16563
