, 0 
 542 , 1.451686 
 543 , 1.436858 
 544 , 1.423789 
 545 , 1.406131 
 546 , 1.400388 
 547 , 1.392229 
 548 , 1.382908 
 549 , 1.380084 
 550 , 1.376055 
 551 , 1.369947 
 552 , 1.360375 
 553 , 1.358664 
 554 , 1.348723 
 555 , 1.341243 
 556 , 1.330815 
 557 , 1.326291 
 558 , 1.31729 
 559 , 1.30302 
 560 , 1.296051 
 561 , 1.290273 
 562 , 1.278192 
 563 , 1.278094 
 564 , 1.28905 
 565 , 1.29106 
 566 , 1.301958 
 567 , 1.329136 
 568 , 1.35246 
 569 , 1.378116 
 570 , 1.416102 
 571 , 1.449182 
 572 , 1.479699 
 573 , 1.513824 
 574 , 1.533715 
 575 , 1.547714 
 576 , 1.552056 
 577 , 1.547445 
 578 , 1.532396 
 579 , 1.515959 
 580 , 1.494228 
 581 , 1.467396 
 582 , 1.437011 
 583 , 1.414579 
 584 , 1.383975 
 585 , 1.355643 
 586 , 1.334106 
 587 , 1.313037 
 588 , 1.294569 
 589 , 1.280667 
 590 , 1.273965 
 591 , 1.267422 
 592 , 1.267364 
 593 , 1.276517 
 594 , 1.288714 
 595 , 1.293126 
 596 , 1.308771 
 597 , 1.323896 
 598 , 1.326923 
 599 , 1.337017 
 600 , 1.340079 
 601 , 1.330132 
 602 , 1.321258 
 603 , 1.302953 
 604 , 1.273013 
 605 , 1.236615 
 606 , 1.19001 
 607 , 1.130055 
 608 , 1.062096 
 609 , 0.9913498 
 610 , 0.9204384 
 611 , 0.842123 
 612 , 0.7748781 
 613 , 0.7083865 
 614 , 0.643234 
 615 , 0.5807826 
 616 , 0.5193892 
 617 , 0.452991 
 618 , 0.3863441 
 619 , 0.3214268 
 620 , 0.2551459 
 621 , 0.1940368 
 622 , 0.1360484 
 623 , 8.638079E-02 
 624 , 3.997444E-02 
 625 , 3.556011E-03 
 626 ,-2.579707E-02 
 627 ,-5.156376E-02 
 628 ,-7.413192E-02 
 629 ,-8.952121E-02 
 630 ,-0.104505 
 631 ,-0.1196607 
 632 ,-0.1275121 
 633 ,-0.1338248 
 634 ,-0.1427534 
 635 ,-0.1486113 
 636 ,-0.1540544 
 637 ,-0.1614786 
 638 ,-0.1665243 
 639 ,-0.1698362 
 640 ,-0.1751233 
 641 ,-0.1783781 
 642 ,-0.1800466 
 643 ,-0.1830753 
 644 ,-0.1864928 
 645 ,-0.1873627 
 646 ,-0.1910185 
 647 ,-0.1927247 
 648 ,-0.1932165 
 649 ,-0.1956842 
 650 ,-0.199558 
 651 ,-0.1980659 
 652 ,-0.1996082 
 653 ,-0.2023113 
 654 ,-0.2052596 
 655 ,-0.2043629 
 656 ,-0.2068652 
 657 ,-0.2092639 
 658 ,-0.2092568 
 659 ,-0.2089109 
 660 ,-0.2089329 
 661 ,-0.2112128 
 662 ,-0.2109317 
 663 ,-0.2110607 
 664 ,-0.2147952 
 665 ,-0.2126694 
 666 ,-0.2133603 
 667 ,-0.2177272 
 668 ,-0.2168835 
 669 ,-0.2168421 
 670 ,-0.2192764 
 671 ,-0.2182106 
 672 ,-0.2162371 
 673 ,-0.2185446 
 674 ,-0.2196928 
 675 ,-0.2180283 
 676 ,-0.2211979 
 677 ,-0.221753 
 678 ,-0.2200015 
 679 ,-0.2227375 
 680 ,-0.2228049 
 681 ,-0.2192887 
 682 ,-0.2216152 
 683 ,-0.222566 
 684 ,-0.2209426 
 685 ,-0.221727 
 686 ,-0.2224654 
 687 ,-0.223211 
 688 ,-0.2245252 
 689 ,-0.224359 
 690 ,-0.2266167 
 691 ,-0.2274609 
 692 ,-0.2248116 
 693 ,-0.2253198 
 694 ,-0.2268874 
 695 ,-0.2259904 
 696 ,-0.2253596 
 697 ,-0.2270417 
 698 ,-0.2249644 
 699 ,-0.2256413 
 700 ,-0.2270391 
 701 ,-0.226459 
 702 ,-0.2263495 
 703 ,-0.22808 
 704 ,-0.2255956 
 705 ,-0.2247617 
 706 ,-0.2274988 
 707 ,-0.2277496 
 708 ,-0.2258759 
 709 ,-0.2277 
 710 ,-0.2286893 
 711 ,-0.2272073 
 712 ,-0.2288569 
 713 ,-0.2272821 
 714 ,-0.2278243 
 715 ,-0.2287079 
 716 ,-0.2292606 
 717 ,-0.2271543 
 718 ,-0.2280734 
 719 ,-0.2286465 
 720 ,-0.2291273 
 721 ,-0.2285939 
 722 ,-0.228102 
 723 ,-0.2298179 
 724 ,-0.230074 
 725 ,-0.2294332 
 726 ,-0.2297892 
 727 ,-0.2290204 
 728 ,-0.2259152 
 729 ,-0.2274097 
 730 ,-0.2290244 
 731 ,-0.2276878 
 732 ,-0.2288416 
 733 ,-0.2316445 
 734 ,-0.2300601 
 735 ,-0.2300326 
 736 ,-0.2312266 
 737 ,-0.228655 
 738 ,-0.2268096 
 739 ,-0.2280779 
 740 ,-0.2262178 
 741 ,-0.2256467 
 742 ,-0.2297981 
 743 ,-0.2276447 
 744 ,-0.2283947 
 745 ,-0.2318534 
 746 ,-0.2290483 
 747 ,-0.2282417 
 748 ,-0.2306971 
 749 ,-0.2305187 
 750 ,-0.2288644 
 751 ,-0.2322191 
 752 ,-0.2313785 
 753 ,-0.2302539 
 754 ,-0.2306611 
 755 ,-0.2296942 
 756 ,-0.2315262 
 757 ,-0.2311249 
 758 ,-0.231273 
 759 ,-0.2328195 
 760 ,-0.2333519 
 761 ,-0.2312118 
 762 ,-0.2312536 
 763 ,-0.2317443 
 764 ,-0.229833 
 765 ,-0.2303045 
 766 ,-0.2319154 
 767 ,-0.2296338 
 768 ,-0.23065 
 769 ,-0.2320012 
 770 ,-0.2295871 
 771 ,-0.2298185 
 772 ,-0.2317846 
 773 ,-0.2287932 
 774 ,-0.2284092 
 775 ,-0.2310856 
 776 ,-0.2284058 
 777 ,-0.2290692 
 778 ,-0.2318073 
 779 ,-0.2309039 
 780 ,-0.2299408 
 781 ,-0.2324931 
 782 ,-0.231187 
 783 ,-0.2300433 
 784 ,-0.2308227 
 785 ,-0.2290048 
 786 ,-0.2295159 
 787 ,-0.2297218 
 788 ,-0.230461 
 789 ,-0.2300457 
 790 ,-0.2289267 
 791 ,-0.2292686 
 792 ,-0.2294148 
 793 ,-0.2274869 
 794 ,-0.2266728 
 795 ,-0.2282722 
 796 ,-0.2298166 
 797 ,-0.2291938 
 798 ,-0.2302971 
 799 ,-0.2300008 
 800 ,-0.2281457 
 801 ,-0.2282719 
 802 ,-0.2287498 
 803 ,-0.229116 
 804 ,-0.230874 
 805 ,-0.2318517 
 806 ,-0.2279505 
 807 ,-0.2283762 
 808 ,-0.2296894 
 809 ,-0.2267894 
 810 ,-0.2279493 
 811 ,-0.2291762 
 812 ,-0.2274224 
 813 ,-0.2290387 
 814 ,-0.2295868 
 815 ,-0.2282684 
 816 ,-0.2272624 
 817 ,-0.2271752 
 818 ,-0.2291839 
 819 ,-0.2273194 
 820 ,-0.2265276 
 821 ,-0.2292224 
 822 ,-0.2296113 
 823 ,-0.2279064 
 824 ,-0.2279147 
 825 ,-0.2289574 
 826 ,-0.2268445 
 827 ,-0.2274167 
 828 ,-0.230106 
 829 ,-0.2283237 
 830 ,-0.2265341 
 831 ,-0.2298355 
 832 ,-0.2288886 
 833 ,-0.2284213 
 834 ,-0.228704 
 835 ,-0.2284864 
 836 ,-0.2260115 
 837 ,-0.2274676 
 838 ,-0.2288416 
 839 ,-0.2254715 
 840 ,-0.2267916 
 841 ,-0.2293682 
 842 ,-0.2275558 
 843 ,-0.2289312 
 844 ,-0.2278134 
 845 ,-0.2272686 
 846 ,-0.2264231 
 847 ,-0.2255138 
 848 ,-0.2247321 
 849 ,-0.2262548 
 850 ,-0.2273115 
 851 ,-0.2266351 
 852 ,-0.2272555 
 853 ,-0.2271419 
 854 ,-0.2278927 
 855 ,-0.2280743 
 856 ,-0.2257229 
 857 ,-0.2258268 
 858 ,-0.2276579 
 859 ,-0.2252214 
 860 ,-0.2254827 
 861 ,-0.2278247 
 862 ,-0.2249335 
 863 ,-0.2233934 
 864 ,-0.2257148 
 865 ,-0.2245877 
 866 ,-0.2236485 
 867 ,-0.2263911 
 868 ,-0.2262993 
 869 ,-0.2246845 
 870 ,-0.2260278 
 871 ,-0.225805 
 872 ,-0.2236202 
 873 ,-0.2251967 
 874 ,-0.2257301 
 875 ,-0.223399 
 876 ,-0.2257624 
 877 ,-0.224285 
 878 ,-0.2235534 
 879 ,-0.2249981 
 880 ,-0.2261316 
 881 ,-0.2225565 
 882 ,-0.2237606 
 883 ,-0.2254056 
 884 ,-0.2262994 
 885 ,-0.2261426 
 886 ,-0.222927 
 887 ,-0.2241908 
 888 ,-0.2237645 
 889 ,-0.2218484 
 890 ,-0.222896 
 891 ,-0.224828 
 892 ,-0.2207393 
 893 ,-0.2207265 
 894 ,-0.2220221 
 895 ,-0.218631 
 896 ,-0.219839 
 897 ,-0.2219861 
 898 ,-0.2200714 
 899 ,-0.2200005 
 900 ,-0.2223004 
 901 ,-0.2214893 
 902 ,-0.220898 
 903 ,-0.2223014 
 904 ,-0.2212405 
 905 ,-0.2212168 
 906 ,-0.2238579 
 907 ,-0.2215572 
 908 ,-0.2222152 
 909 ,-0.2241027 
 910 ,-0.222523 
 911 ,-0.2207175 
 912 ,-0.2222747 
 913 ,-0.222339 
 914 ,-0.2214072 
 915 ,-0.2236721 
 916 ,-0.2232368 
 917 ,-0.2222175 
 918 ,-0.2218145 
 919 ,-0.2216256 
 920 ,-0.2209385 
 921 ,-0.2201651 
 922 ,-0.2179481 
 923 ,-0.2199875 
 924 ,-0.2217232 
 925 ,-0.2201308 
 926 ,-0.2204086 
 927 ,-0.2221802 
 928 ,-0.2202534 
 929 ,-0.2201577 
 930 ,-0.2210898 
 931 ,-0.220852 
 932 ,-0.2209987 
 933 ,-0.2225222 
 934 ,-0.2201133 
 935 ,-0.2198534 
 936 ,-0.2222443 
 937 ,-0.2202265 
 938 ,-0.2194238 
 939 ,-0.221592 
 940 ,-0.219955 
 941 ,-0.2215006 
 942 ,-0.2233926 
 943 ,-0.2213732 
 944 ,-0.2204018 
 945 ,-0.2221132 
 946 ,-0.2207849 
 947 ,-0.2203628 
 948 ,-0.2227391 
 949 ,-0.2213721 
 950 ,-0.2225547 
 951 ,-0.2230189 
 952 ,-0.2226784 
 953 ,-0.22159 
 954 ,-0.2206024 
 955 ,-0.2209666 
 956 ,-0.2223626 
 957 ,-0.2219926 
 958 ,-0.2208171 
 959 ,-0.2215552 
 960 ,-0.2210937 
 961 ,-0.2202734 
 962 ,-0.2220123 
 963 ,-0.2240575 
 964 ,-0.2224208 
 965 ,-0.2240182 
 966 ,-0.2238961 
 967 ,-0.2216114 
 968 ,-0.2225495 
 969 ,-0.2228618 
 970 ,-0.2205411 
 971 ,-0.2221374 
 972 ,-0.225011 
 973 ,-0.2206885 
 974 ,-0.2218625 
 975 ,-0.2219208 
 976 ,-0.2204155 
 977 ,-0.2213197 
 978 ,-0.2235223 
 979 ,-0.2202279 
 980 ,-0.2208435 
 981 ,-0.2228569 
 982 ,-0.222575 
 983 ,-0.2223823 
 984 ,-0.2224776 
 985 ,-0.2248602 
 986 ,-0.2250562 
 987 ,-0.2223477 
 988 ,-0.2231754 
 989 ,-0.2230162 
 990 ,-0.2212822 
 991 ,-0.2197545 
 992 ,-0.2220217 
 993 ,-0.2207773 
 994 ,-0.21991 
 995 ,-0.2214107 
 996 ,-0.223688 
 997 ,-0.2222405 
 998 ,-0.2224334 
 999 ,-0.2225944 
 1000 ,-0.2216465 
 1001 ,-0.2221744 
 1002 ,-0.2224366 
 1003 ,-0.2200342 
 1004 ,-0.2227879 
 1005 ,-0.2248576 
 1006 ,-0.222528 
 1007 ,-0.2242181 
 1008 ,-0.2243467 
 1009 ,-0.2228841 
 1010 ,-0.22295 
 1011 ,-0.2241136 
 1012 ,-0.2216112 
 1013 ,-0.2199691 
 1014 ,-0.2212757 
 1015 ,-0.2212769 
 1016 ,-0.2210457 
 1017 ,-0.219797 
 1018 ,-0.2223563 
 1019 ,-0.2235048 
 1020 ,-0.2223527 
 1021 ,-0.2226528 
 1022 ,-0.224184 
 1023 ,-0.2215299 
 1024 ,-0.2190638 
