# TR: NSLS/X11 EDC-5.02 15-Sep-92 02:35:54 E- ENERGY=2.584GEV
# Cu foil, 50K, rolled and annealled foil by matt
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 8980.0 NREG= 3 NPTS= 619 NSCLRS= 3 EF=     .0
# SRB=   -197.6    -47.3     30.0   2381.3
# DEL=           10.020     .483     .050K
# SEC=             1.000    1.000    1.000
# DETECTORSI0      I       If
# GAINS           8       7      10
# OFFSETS     51284   50016   48319
# nsls 0.2p, Bruce Ravel   TR mode
# ----------------------------------------------------------------
#     energy              xmu
     9980.741            2.11258
     9986.940            2.10496
     9993.093            2.09882
     9999.361            2.09581
    10005.580            2.08968
    10011.870            2.08288
    10018.110            2.07616
    10024.410            2.07069
    10030.770            2.06594
    10037.090            2.06070
    10043.460            2.05492
    10049.800            2.05092
    10056.190            2.04779
    10062.600            2.04754
    10069.070            2.04745
    10075.490            2.04361
    10081.970            2.03900
    10088.460            2.03261
    10094.960            2.02822
    10101.530            2.02330
    10108.050            2.01786
    10114.630            2.01171
    10121.170            2.00582
    10127.770            2.00004
    10134.490            1.99505
    10141.050            1.99073
    10147.790            1.98550
    10154.370            1.98105
    10161.120            1.97816
    10167.890            1.97292
    10174.550            1.96737
    10181.280            1.96128
    10188.070            1.95492
    10194.870            1.94962
    10201.680            1.94495
    10208.500            1.94034
    10215.390            1.93637
    10222.230            1.93310
    10229.130            1.93025
    10236.100            1.92677
    10242.970            1.92263
    10249.910            1.91711
    10256.850            1.91192
    10263.860            1.90818
    10270.880            1.90363
    10277.910            1.89906
    10284.950            1.89457
    10292.000            1.88974
    10299.050            1.88536
    10306.240            1.88066
    10313.320            1.87546
    10320.410            1.87044
    10327.620            1.86432
    10334.730            1.85871
    10341.960            1.85346
    10349.210            1.84843
    10356.460            1.84392
    10363.610            1.84010
    10370.890            1.83507
    10378.170            1.83002
    10385.530            1.82492
    10392.840            1.81991
    10400.160            1.81517
    10407.540            1.81110
    10414.940            1.80756
    10422.350            1.80353
    10429.770            1.79796
    10437.200            1.79266
    10444.640            1.78841
    10452.150            1.78354
    10459.610            1.77865
    10467.140            1.77495
    10474.690            1.76998
    10482.240            1.76573
    10489.810            1.76090
    10497.440            1.75616
    10505.090            1.75143
    10512.630            1.74654
    10520.300            1.74126
    10527.980            1.73597
    10535.680            1.73113
    10543.380            1.72604
    10551.100            1.72131
    10558.830            1.71587
    10566.630            1.71060
    10574.380            1.70552
    10582.200            1.70082
    10590.040            1.69626
    10597.880            1.69147
    10605.800            1.68733
    10613.610            1.68271
    10621.500            1.67762
    10629.450            1.67293
    10637.360            1.66840
    10645.340            1.66408
    10653.270            1.65915
    10661.270            1.65443
    10669.290            1.64935
    10677.320            1.64436
    10685.360            1.63967
    10693.470            1.63497
    10701.540            1.63041
    10709.680            1.62582
    10717.770            1.62126
    10725.940            1.61649
    10734.120            1.61164
    10742.370            1.60701
    10750.450            1.60198
    10758.730            1.59692
    10766.960            1.59163
    10775.260            1.58674
    10783.450            1.58215
    10791.780            1.57698
    10800.130            1.57263
    10808.420            1.56846
    10816.790            1.56408
    10825.180            1.55933
    10833.570            1.55465
    10841.980            1.54963
    10850.410            1.54514
    10858.840            1.54020
    10867.360            1.53583
    10875.820            1.53097
    10884.300            1.52667
    10892.850            1.52135
    10901.420            1.51684
    10909.940            1.51190
    10918.530            1.50733
    10927.210            1.50263
    10935.770            1.49833
    10944.400            1.49366
    10953.120            1.48892
    10961.790            1.48400
    10970.530            1.47936
    10979.160            1.47443
    10987.930            1.46968
    10996.650            1.46484
    11005.450            1.45991
    11014.270            1.45511
    11023.030            1.45055
    11031.880            1.44618
    11040.740            1.44143
    11049.610            1.43690
    11058.500            1.43252
    11067.400            1.42773
    11076.310            1.42357
    11085.250            1.41851
    11094.260            1.41374
    11103.220            1.41020
    11112.260            1.40466
    11121.250            1.40004
    11130.320            1.39566
    11139.340            1.39095
    11148.510            1.38625
    11157.560            1.38153
    11166.630            1.37728
    11175.780            1.37275
    11185.010            1.36797
    11194.120            1.36343
    11203.310            1.35857
    11212.590            1.35444
    11221.740            1.34964
    11230.980            1.34503
    11240.310            1.34052
    11249.650            1.33594
    11258.870            1.33161
    11268.240            1.32726
    11277.550            1.32233
    11286.960            1.31825
    11296.380            1.31359
    11305.740            1.30895
    11315.190            1.30473
    11324.660            1.30000
    11334.000            1.29569
    11343.500            1.29119
    11353.010            1.28696
    11362.540            1.28242
