
   Pt:    Z = 78;   Atomic weight = 195.0800 g/mol ;    nominal density:   [INLINE] = 2.1410E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.23938E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.15708E+05
          21 edges. Edge energies (keV):
          

  K      7.83948E+01  L I    1.38799E+01  L II   1.32726E+01  L III  1.15637E+01
  M I    3.29600E+00  M II   3.02650E+00  M III  2.64540E+00  M IV   2.20190E+00
  M V    2.12160E+00  N I    7.22000E-01  N II   6.09200E-01  N III  5.19000E-01
  N IV   3.30800E-01  N V    3.13300E-01  N VI   7.43000E-02  N VII  7.11000E-02
  O I    1.01700E-01  O II   6.53000E-02  O III  5.17000E-02  O IV   7.43991E-03
  O V    6.12538E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.6659E+00, -9.8160E-01 e/atom
          Nuclear Thomson correction fNT = -1.7109E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=78, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

3.241840E-01  2.13431E+01  2.6930E+01  1.7919E+04  4.0136E+00  1.7923E+04  0.000E+00  3.825E+00
3.291460E-01  2.17758E+01  2.7116E+01  1.7771E+04  4.0897E+00  1.7775E+04  0.000E+00  3.767E+00
3.304692E-01  2.17179E+01  2.7161E+01  1.7729E+04  4.1099E+00  1.7733E+04  0.000E+00  3.752E+00
3.324540E-01  2.21665E+01  2.7655E+01  1.7944E+04  4.1401E+00  1.7948E+04  0.000E+00  3.729E+00
3.374160E-01  2.29359E+01  2.7824E+01  1.7788E+04  4.2153E+00  1.7792E+04  0.000E+00  3.675E+00
3.434143E-01  2.37157E+01  2.8001E+01  1.7588E+04  4.3056E+00  1.7592E+04  0.000E+00  3.610E+00
3.671099E-01  2.64497E+01  2.8433E+01  1.6707E+04  4.6548E+00  1.6712E+04  0.000E+00  3.377E+00
3.924405E-01  2.90098E+01  2.8517E+01  1.5674E+04  5.0147E+00  1.5679E+04  0.000E+00  3.159E+00
4.195189E-01  3.13791E+01  2.8305E+01  1.4554E+04  5.3834E+00  1.4559E+04  0.000E+00  2.955E+00
4.484657E-01  3.35086E+01  2.7854E+01  1.3398E+04  5.7592E+00  1.3404E+04  0.000E+00  2.765E+00
4.794098E-01  3.53128E+01  2.7220E+01  1.2248E+04  6.1401E+00  1.2254E+04  0.000E+00  2.586E+00
5.086200E-01  3.62971E+01  2.6543E+01  1.1257E+04  6.4801E+00  1.1263E+04  0.000E+00  2.438E+00
5.124891E-01  3.62545E+01  2.6450E+01  1.1133E+04  6.5238E+00  1.1140E+04  0.000E+00  2.419E+00
5.164050E-01  3.59697E+01  2.6355E+01  1.1009E+04  6.5676E+00  1.1016E+04  0.000E+00  2.401E+00
5.184810E-01  3.52238E+01  2.6305E+01  1.0944E+04  6.5907E+00  1.0951E+04  0.000E+00  2.391E+00
5.215950E-01  3.62272E+01  2.7890E+01  1.1534E+04  6.6252E+00  1.1541E+04  0.000E+00  2.377E+00
5.293800E-01  3.73362E+01  2.7708E+01  1.1290E+04  6.7106E+00  1.1297E+04  0.000E+00  2.342E+00
5.478508E-01  3.87147E+01  2.7271E+01  1.0738E+04  6.9080E+00  1.0745E+04  0.000E+00  2.263E+00
5.856525E-01  4.06076E+01  2.6375E+01  9.7144E+03  7.2903E+00  9.7217E+03  0.000E+00  2.117E+00
5.970160E-01  4.10302E+01  2.6107E+01  9.4329E+03  7.3997E+00  9.4403E+03  0.000E+00  2.077E+00
6.061540E-01  4.12415E+01  2.5894E+01  9.2146E+03  7.4859E+00  9.2221E+03  0.000E+00  2.045E+00
6.085908E-01  4.11447E+01  2.5837E+01  9.1576E+03  7.5086E+00  9.1651E+03  0.000E+00  2.037E+00
6.122460E-01  4.14807E+01  2.6131E+01  9.2066E+03  7.5425E+00  9.2141E+03  0.000E+00  2.025E+00
6.213840E-01  4.19941E+01  2.5925E+01  8.9996E+03  7.6261E+00  9.0072E+03  0.000E+00  1.995E+00
6.260625E-01  4.22047E+01  2.5820E+01  8.8962E+03  7.6683E+00  8.9039E+03  0.000E+00  1.980E+00
6.692609E-01  4.37522E+01  2.4872E+01  8.0165E+03  8.0392E+00  8.0245E+03  0.000E+00  1.853E+00
7.075600E-01  4.47128E+01  2.4068E+01  7.3374E+03  8.3413E+00  7.3457E+03  0.000E+00  1.752E+00
7.154399E-01  4.47980E+01  2.3907E+01  7.2081E+03  8.4005E+00  7.2165E+03  0.000E+00  1.733E+00
7.183900E-01  4.47765E+01  2.3847E+01  7.1605E+03  8.4225E+00  7.1689E+03  0.000E+00  1.726E+00
7.212780E-01  4.45797E+01  2.3789E+01  7.1144E+03  8.4438E+00  7.1228E+03  0.000E+00  1.719E+00
7.256100E-01  4.49684E+01  2.4238E+01  7.2054E+03  8.4755E+00  7.2139E+03  0.000E+00  1.709E+00
7.364400E-01  4.54842E+01  2.4024E+01  7.0369E+03  8.5536E+00  7.0455E+03  0.000E+00  1.684E+00
7.648052E-01  4.63523E+01  2.3479E+01  6.6222E+03  8.7497E+00  6.6310E+03  0.000E+00  1.621E+00
8.175768E-01  4.75945E+01  2.2516E+01  5.9407E+03  9.0842E+00  5.9498E+03  0.000E+00  1.516E+00
8.739896E-01  4.86630E+01  2.1556E+01  5.3201E+03  9.4014E+00  5.3295E+03  0.000E+00  1.419E+00
9.342948E-01  4.96065E+01  2.0591E+01  4.7539E+03  9.6991E+00  4.7636E+03  0.000E+00  1.327E+00
9.987612E-01  5.06849E+01  1.9637E+01  4.2412E+03  9.9750E+00  4.2512E+03  0.000E+00  1.241E+00
1.067676E+00  5.15823E+01  1.8405E+01  3.7184E+03  1.0227E+01  3.7286E+03  0.000E+00  1.161E+00
1.141345E+00  5.19997E+01  1.7235E+01  3.2574E+03  1.0453E+01  3.2679E+03  0.000E+00  1.086E+00
1.220098E+00  5.22102E+01  1.6145E+01  2.8543E+03  1.0652E+01  2.8650E+03  0.000E+00  1.016E+00
