
   Hf:    Z = 72;   Atomic weight = 178.4900 g/mol ;    nominal density:   [INLINE] = 1.3290E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.96390E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.35757E+05
          20 edges. Edge energies (keV):
          

  K      6.53508E+01  L I    1.12707E+01  L II   1.07394E+01  L III  9.56070E+00
  M I    2.60090E+00  M II   2.36540E+00  M III  2.10760E+00  M IV   1.71640E+00
  M V    1.66170E+00  N I    5.38100E-01  N II   4.37000E-01  N III  3.80400E-01
  N IV   2.23800E-01  N V    2.13700E-01  N VI   1.71000E-02  N VII  1.71000E-02
  O I    6.49000E-02  O II   3.81000E-02  O III  3.06000E-02  O IV   5.00000E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.3514E+00, -8.0280E-01 e/atom
          Nuclear Thomson correction fNT = -1.5933E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=72, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.923942E-02  1.22607E+01  6.3289E+00  2.1550E+04  2.0039E-01  2.1550E+04  0.000E+00  1.791E+01
7.401695E-02  1.20617E+01  6.7968E+00  2.1649E+04  2.3787E-01  2.1649E+04  0.000E+00  1.675E+01
7.912411E-02  1.19422E+01  7.3742E+00  2.1972E+04  2.8117E-01  2.1972E+04  0.000E+00  1.567E+01
8.458368E-02  1.19154E+01  8.0377E+00  2.2403E+04  3.3095E-01  2.2403E+04  0.000E+00  1.466E+01
9.041995E-02  1.19887E+01  8.7649E+00  2.2853E+04  3.8791E-01  2.2853E+04  0.000E+00  1.371E+01
9.665893E-02  1.21710E+01  9.5362E+00  2.3259E+04  4.5278E-01  2.3259E+04  0.000E+00  1.283E+01
1.033284E-01  1.24501E+01  1.0333E+01  2.3576E+04  5.2633E-01  2.3577E+04  0.000E+00  1.200E+01
1.104581E-01  1.28278E+01  1.1136E+01  2.3768E+04  6.0932E-01  2.3769E+04  0.000E+00  1.122E+01
1.180797E-01  1.32971E+01  1.1931E+01  2.3822E+04  7.0252E-01  2.3823E+04  0.000E+00  1.050E+01
1.262272E-01  1.38486E+01  1.2706E+01  2.3732E+04  8.0672E-01  2.3733E+04  0.000E+00  9.822E+00
1.349368E-01  1.44715E+01  1.3452E+01  2.3504E+04  9.2265E-01  2.3505E+04  0.000E+00  9.188E+00
1.442475E-01  1.51533E+01  1.4162E+01  2.3147E+04  1.0510E+00  2.3148E+04  0.000E+00  8.595E+00
1.542005E-01  1.58793E+01  1.4832E+01  2.2676E+04  1.1926E+00  2.2677E+04  0.000E+00  8.040E+00
1.648404E-01  1.66312E+01  1.5458E+01  2.2109E+04  1.3479E+00  2.2110E+04  0.000E+00  7.521E+00
1.762144E-01  1.73823E+01  1.6042E+01  2.1462E+04  1.5175E+00  2.1464E+04  0.000E+00  7.036E+00
1.883732E-01  1.80812E+01  1.6584E+01  2.0755E+04  1.7018E+00  2.0757E+04  0.000E+00  6.582E+00
2.013709E-01  1.85700E+01  1.7086E+01  2.0004E+04  1.9012E+00  2.0006E+04  0.000E+00  6.157E+00
2.094260E-01  1.83866E+01  1.7365E+01  1.9548E+04  2.0255E+00  1.9550E+04  0.000E+00  5.920E+00
2.126315E-01  1.75818E+01  1.7470E+01  1.9370E+04  2.0751E+00  1.9372E+04  0.000E+00  5.831E+00
2.134863E-01  1.64223E+01  1.7497E+01  1.9323E+04  2.0884E+00  1.9325E+04  0.000E+00  5.808E+00
2.147685E-01  1.78002E+01  1.9910E+01  2.1856E+04  2.1082E+00  2.1858E+04  0.000E+00  5.773E+00
2.152655E-01  1.81313E+01  1.9898E+01  2.1792E+04  2.1159E+00  2.1794E+04  0.000E+00  5.760E+00
2.179740E-01  1.90228E+01  1.9840E+01  2.1459E+04  2.1578E+00  2.1461E+04  0.000E+00  5.688E+00
2.193240E-01  1.92392E+01  1.9814E+01  2.1299E+04  2.1787E+00  2.1301E+04  0.000E+00  5.653E+00
2.226810E-01  1.92015E+01  1.9758E+01  2.0918E+04  2.2307E+00  2.0920E+04  0.000E+00  5.568E+00
2.235762E-01  1.84909E+01  1.9744E+01  2.0820E+04  2.2446E+00  2.0822E+04  0.000E+00  5.546E+00
2.249190E-01  1.96490E+01  2.1424E+01  2.2456E+04  2.2654E+00  2.2458E+04  0.000E+00  5.512E+00
