
   Bi:    Z = 83;   Atomic weight = 208.9804 g/mol ;    nominal density:   [INLINE] = 9.7300E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.47020E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.01360E+05
          23 edges. Edge energies (keV):
          

  K      9.05259E+01  L I    1.63875E+01  L II   1.57111E+01  L III  1.34186E+01
  M I    3.99910E+00  M II   3.69630E+00  M III  3.17690E+00  M IV   2.68760E+00
  M V    2.57960E+00  N I    9.38200E-01  N II   8.05300E-01  N III  6.78900E-01
  N IV   4.63600E-01  N V    4.40000E-01  N VI   1.61900E-01  N VII  1.57400E-01
  O I    1.59300E-01  O II   1.16800E-01  O III  9.28000E-02  O IV   2.65000E-02
  O V    2.44000E-02  P I    1.42334E-02  P II   6.16991E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.9618E+00, -1.1484E+00 e/atom
          Nuclear Thomson correction fNT = -1.8084E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=83, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
2.811158E-01  1.40267E+01  1.4375E+01  1.0297E+04  3.2439E+00  1.0300E+04  0.000E+00  4.410E+00
3.005128E-01  1.44493E+01  1.7058E+01  1.1430E+04  3.5572E+00  1.1434E+04  0.000E+00  4.126E+00
3.212482E-01  1.54066E+01  1.9738E+01  1.2372E+04  3.8864E+00  1.2376E+04  0.000E+00  3.859E+00
3.434143E-01  1.68702E+01  2.2267E+01  1.3056E+04  4.2304E+00  1.3060E+04  0.000E+00  3.610E+00
3.671099E-01  1.87560E+01  2.4511E+01  1.3444E+04  4.5883E+00  1.3449E+04  0.000E+00  3.377E+00
3.924405E-01  2.09220E+01  2.6362E+01  1.3526E+04  4.9585E+00  1.3531E+04  0.000E+00  3.159E+00
4.195189E-01  2.30901E+01  2.7747E+01  1.3318E+04  5.3394E+00  1.3323E+04  0.000E+00  2.955E+00
4.312000E-01  2.37719E+01  2.8172E+01  1.3156E+04  5.4989E+00  1.3162E+04  0.000E+00  2.875E+00
4.378000E-01  2.37625E+01  2.8370E+01  1.3048E+04  5.5877E+00  1.3054E+04  0.000E+00  2.832E+00
4.395600E-01  2.32706E+01  2.8418E+01  1.3018E+04  5.6112E+00  1.3024E+04  0.000E+00  2.821E+00
4.422000E-01  2.40733E+01  2.9716E+01  1.3531E+04  5.6464E+00  1.3537E+04  0.000E+00  2.804E+00
4.484657E-01  2.50378E+01  2.9921E+01  1.3434E+04  5.7292E+00  1.3440E+04  0.000E+00  2.765E+00
4.488000E-01  2.50758E+01  2.9931E+01  1.3429E+04  5.7336E+00  1.3435E+04  0.000E+00  2.763E+00
4.543280E-01  2.56187E+01  3.0093E+01  1.3337E+04  5.8060E+00  1.3343E+04  0.000E+00  2.729E+00
4.612820E-01  2.60072E+01  3.0274E+01  1.3215E+04  5.8960E+00  1.3221E+04  0.000E+00  2.688E+00
4.631364E-01  2.57858E+01  3.0319E+01  1.3182E+04  5.9199E+00  1.3188E+04  0.000E+00  2.677E+00
4.659180E-01  2.64552E+01  3.1184E+01  1.3477E+04  5.9555E+00  1.3483E+04  0.000E+00  2.661E+00
4.728720E-01  2.74852E+01  3.1369E+01  1.3358E+04  6.0438E+00  1.3364E+04  0.000E+00  2.622E+00
4.794098E-01  2.82360E+01  3.1525E+01  1.3241E+04  6.1259E+00  1.3247E+04  0.000E+00  2.586E+00
5.124891E-01  3.15026E+01  3.2053E+01  1.2594E+04  6.5273E+00  1.2601E+04  0.000E+00  2.419E+00
5.478508E-01  3.45283E+01  3.2172E+01  1.1825E+04  6.9309E+00  1.1832E+04  0.000E+00  2.263E+00
5.856525E-01  3.73187E+01  3.1907E+01  1.0970E+04  7.3344E+00  1.0977E+04  0.000E+00  2.117E+00
6.260625E-01  3.97560E+01  3.1325E+01  1.0075E+04  7.7349E+00  1.0083E+04  0.000E+00  1.980E+00
6.653220E-01  4.12563E+01  3.0575E+01  9.2537E+03  8.0953E+00  9.2618E+03  0.000E+00  1.864E+00
6.692609E-01  4.12625E+01  3.0493E+01  9.1744E+03  8.1299E+00  9.1825E+03  0.000E+00  1.853E+00
6.755055E-01  4.09626E+01  3.0360E+01  9.0500E+03  8.1843E+00  9.0582E+03  0.000E+00  1.835E+00
6.782211E-01  4.01316E+01  3.0302E+01  8.9964E+03  8.2078E+00  9.0046E+03  0.000E+00  1.828E+00
6.822945E-01  4.13099E+01  3.2111E+01  9.4767E+03  8.2427E+00  9.4849E+03  0.000E+00  1.817E+00
6.924780E-01  4.26536E+01  3.1895E+01  9.2744E+03  8.3288E+00  9.2827E+03  0.000E+00  1.790E+00
7.154399E-01  4.43295E+01  3.1398E+01  8.8370E+03  8.5166E+00  8.8455E+03  0.000E+00  1.733E+00
7.648052E-01  4.68915E+01  3.0271E+01  7.9697E+03  8.8923E+00  7.9786E+03  0.000E+00  1.621E+00
7.891940E-01  4.78527E+01  2.9669E+01  7.5699E+03  9.0644E+00  7.5790E+03  0.000E+00  1.571E+00
8.012735E-01  4.81600E+01  2.9358E+01  7.3776E+03  9.1465E+00  7.3867E+03  0.000E+00  1.547E+00
8.044947E-01  4.80771E+01  2.9275E+01  7.3273E+03  9.1680E+00  7.3365E+03  0.000E+00  1.541E+00
8.093265E-01  4.84646E+01  2.9556E+01  7.3535E+03  9.2001E+00  7.3627E+03  0.000E+00  1.532E+00
