XDAC V1.4 Datafile V1
"MMCBr1_100.002" created on 11/18/2012 at 9:48:15 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 13474.00
NUM_REGIONS= 6
SRB= -100 -30 -15 10 30 50 200
SRSS= 5 .5 .25 .5 1 5
SPP= 1 1 1 1 1 1
Settling time= 0.20


Offsets= 110.75 66.00 0.00 0.00 0.00 0.00 0.00 9.50 6.00 15.00 0.00 12.75 5.75 12.25 88.75 0.00
Gains= 8.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.00 1.00
oaks + Fe + Br- + H2O2 rinsed a lot


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
   13453.49787    24600.2500    11516.0000     3056.0000    37891.0000     3266.0000     3473.0000   154603.0000   192342.5000   188737.0000   182035.0000   191124.0000   213602.2500   207522.2500   202229.7500    16602.2500        1.0000
   13453.99705    24460.2500    11452.0000     3146.0000    37382.0000     3184.0000     3501.0000   154285.0000   191454.5000   188061.0000   181816.0000   190275.0000   212714.2500   206786.2500   201422.7500    16511.2500        1.0000
   13454.50290    24564.2500    11504.0000     3130.0000    38217.0000     3282.0000     3379.0000   154672.0000   192756.5000   188435.0000   182333.0000   191243.0000   214297.2500   207277.2500   202281.7500    16584.2500        1.0000
   13455.00208    24590.2500    11516.0000     3145.0000    38063.0000     3269.0000     3444.0000   154932.0000   191979.5000   188185.0000   181845.0000   191509.0000   213583.2500   206968.2500   201579.7500    16605.2500        1.0000
   13455.50128    24585.2500    11514.0000     3208.0000    37927.0000     3324.0000     3391.0000   154961.0000   192725.5000   188429.0000   182823.0000   191435.0000   214236.2500   207149.2500   203154.7500    16599.2500        1.0000
   13456.00048    24561.2500    11504.0000     3155.0000    38143.0000     3269.0000     3531.0000   154890.0000   192242.5000   188700.0000   181881.0000   191203.0000   213689.2500   207601.2500   201421.7500    16585.2500        1.0000
   13456.49968    24556.2500    11504.0000     3253.0000    38179.0000     3316.0000     3466.0000   154605.0000   192388.5000   188587.0000   182595.0000   191209.0000   213955.2500   207433.2500   202305.7500    16586.2500        1.0000
   13456.99888    24588.2500    11519.0000     3221.0000    38104.0000     3321.0000     3432.0000   155310.0000   192986.5000   188603.0000   182811.0000   191468.0000   214553.2500   207454.2500   202779.7500    16611.2500        1.0000
   13457.49809    24608.2500    11530.0000     3211.0000    38268.0000     3240.0000     3393.0000   155091.0000   191850.5000   188076.0000   182665.0000   191832.0000   213315.2500   206833.2500   202575.7500    16623.2500        1.0000
   13457.99731    24622.2500    11539.0000     3128.0000    38291.0000     3365.0000     3513.0000   155470.0000   192437.5000   189117.0000   182432.0000   191904.0000   213849.2500   208042.2500   202341.7500    16632.2500        1.0000
   13458.50319    24617.2500    11539.0000     3199.0000    38071.0000     3370.0000     3572.0000   155135.0000   192070.5000   189306.0000   182906.0000   191614.0000   213617.2500   208226.2500   203512.7500    16630.2500        1.0000
   13459.00241    24610.2500    11536.0000     3286.0000    38108.0000     3344.0000     3490.0000   155109.0000   191218.5000   189205.0000   182855.0000   191659.0000   212640.2500   207855.2500   202873.7500    16626.2500        1.0000
   13459.24870    24606.2500    11536.0000     3363.0000    38361.0000     3506.0000     3459.0000   155201.0000   192296.5000   188758.0000   183123.0000   191845.0000   213980.2500   207682.2500   203412.7500    16623.2500        1.0000
   13459.50164    24603.2500    11534.0000     3329.0000    37983.0000     3294.0000     3589.0000   155212.0000   192462.5000   188555.0000   182523.0000   191647.0000   214178.2500   207563.2500   202542.7500    16620.2500        1.0000
   13459.74793    24600.2500    11531.0000     3321.0000    38438.0000     3436.0000     3656.0000   155267.0000   192871.5000   188687.0000   183314.0000   191749.0000   214708.2500   207679.2500   203473.7500    16615.2500        1.0000
   13460.00087    24586.2500    11526.0000     3300.0000    38544.0000     3444.0000     3613.0000   154965.0000   192603.5000   188276.0000   182449.0000   191317.0000   213954.2500   206966.2500   202117.7500    16606.2500        1.0000
   13460.24716    24551.2500    11511.0000     3274.0000    38203.0000     3409.0000     3592.0000   154647.0000   193006.5000   188420.0000   182152.0000   191107.0000   214524.2500   207269.2500   202008.7500    16580.2500        1.0000
   13460.50011    24534.2500    11504.0000     3204.0000    38389.0000     3484.0000     3506.0000   154462.0000   192292.5000   188655.0000   182916.0000   190744.0000   213972.2500   207434.2500   202697.7500    16569.2500        1.0000
   13460.75306    24481.2500    11479.0000     3307.0000    38066.0000     3447.0000     3680.0000   154759.0000   191992.5000   188967.0000   181924.0000   190840.0000   213433.2500   207897.2500   201909.7500    16527.2500        1.0000
