XDAC V1.4 Datafile V1
"cu_kmdg1.020" created on 6/22/2012 at 5:46:29 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 8979.00
NUM_REGIONS= 4
SRB= -200 -30 30 60 13k
SRSS= 10 0.5 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 115.00 54.25 0.00 0.00 0.00 0.00 10.50 5.25 5.25 5.25 12.25 10.75 5.25 10.50 98.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 0.00 8.00 8.00 8.00 10.00 1.00
Green glass KMDG1


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    8972.00139     4726.0000        3.7500     2068.0000     1783.0000     1331.0000     1679.0000    81066.5000    74254.7500    57401.7500    65213.7500    84179.7500    76816.2500    58929.7500    67071.5000        1.0000        1.0000
    8972.50175     4720.0000        2.7500     2113.0000     1755.0000     1487.0000     1699.0000    81287.5000    74479.7500    57913.7500    65182.7500    84374.7500    76896.2500    59329.7500    67057.5000        1.0000        1.0000
    8973.00212     4715.0000        2.7500     2134.0000     1962.0000     1523.0000     1691.0000    81274.5000    74030.7500    57580.7500    64876.7500    84408.7500    76559.2500    59102.7500    66822.5000        1.0000        1.0000
    8973.50252     4720.0000        2.7500     2267.0000     1961.0000     1528.0000     1835.0000    81091.5000    74269.7500    58023.7500    65258.7500    84202.7500    76799.2500    59453.7500    67161.5000        2.0000        1.0000
    8973.99731     4725.0000        2.7500     2379.0000     2136.0000     1647.0000     1906.0000    81977.5000    75094.7500    58001.7500    65128.7500    85154.7500    77697.2500    59561.7500    66893.5000        2.0000        1.0000
    8974.49774     4707.0000        3.7500     2529.0000     2215.0000     1648.0000     1922.0000    81409.5000    74249.7500    57693.7500    65019.7500    84524.7500    76793.2500    59109.7500    66828.5000        2.0000        1.0000
    8974.99819     4726.0000        2.7500     2656.0000     2361.0000     1754.0000     2119.0000    82110.5000    74953.7500    58563.7500    65578.7500    85362.7500    77485.2500    60130.7500    67503.5000        1.0000        1.0000
    8975.49866     4722.0000        3.7500     2717.0000     2458.0000     1894.0000     2205.0000    82312.5000    74957.7500    58462.7500    65603.7500    85579.7500    77484.2500    59963.7500    67518.5000        1.0000        1.0000
    8975.99914     4716.0000        2.7500     2984.0000     2599.0000     1934.0000     2370.0000    81909.5000    75201.7500    58155.7500    65792.7500    85135.7500    77726.2500    59669.7500    67670.5000        1.0000        1.0000
    8976.49965     4719.0000        3.7500     3129.0000     2749.0000     2133.0000     2582.0000    82014.5000    75382.7500    58573.7500    66096.7500    85221.7500    77940.2500    60078.7500    68048.5000        1.0000        1.0000
    8977.00017     4708.0000        2.7500     3473.0000     2893.0000     2278.0000     2665.0000    83151.5000    75662.7500    58856.7500    65977.7500    86381.7500    78316.2500    60312.7500    67925.5000        1.0000        1.0000
    8977.50070     4715.0000        3.7500     3750.0000     3253.0000     2564.0000     2937.0000    83342.5000    75983.7500    58690.7500    65895.7500    86593.7500    78699.2500    60218.7500    67818.5000        1.0000        1.0000
    8978.00126     4726.0000        2.7500     4280.0000     3822.0000     2881.0000     3402.0000    83799.5000    76625.7500    59500.7500    67014.7500    87264.7500    79393.2500    61117.7500    68967.5000        1.0000        1.0000
    8978.50183     4711.0000        2.7500     4839.0000     4180.0000     3226.0000     3844.0000    84073.5000    76726.7500    59827.7500    67148.7500    87433.7500    79399.2500    61343.7500    69046.5000        1.0000        1.0000
    8979.00242     4713.0000        3.7500     5023.0000     4423.0000     3371.0000     4167.0000    84466.5000    77224.7500    59924.7500    68222.7500    87845.7500    79959.2500    61551.7500    70246.5000        1.0000        1.0000
    8979.49741     4706.0000        2.7500     5373.0000     4591.0000     3567.0000     4170.0000    84692.5000    77175.7500    59989.7500    67358.7500    88215.7500    79825.2500    61620.7500    69329.5000        2.0000        1.0000
    8979.99803     4710.0000        3.7500     5751.0000     5111.0000     3849.0000     4780.0000    85356.5000    77851.7500    60857.7500    68366.7500    88900.7500    80501.2500    62500.7500    70477.5000        1.0000        1.0000
    8980.49868     4719.0000        2.7500     6981.0000     6028.0000     4621.0000     5749.0000    86445.5000    78148.7500    61846.7500    69035.7500    89999.7500    81076.2500    63555.7500    71131.5000        1.0000        1.0000
    8980.99934     4712.0000        2.7500     8406.0000     7390.0000     5633.0000     6917.0000    88139.5000    80520.7500    62457.7500    70759.7500    91735.7500    83356.2500    64194.7500    73062.5000        2.0000        1.0000
    8981.50002     4707.0000        3.7500    10899.0000     9602.0000     7194.0000     8714.0000    91326.5000    82613.7500    63985.7500    72462.7500    95284.7500    85752.2500    65846.7500    74921.5000        1.0000        1.0000
    8982.00072     4724.0000        2.7500    14984.0000    12926.0000    10159.0000    12321.0000    95733.5000    87216.7500    67888.7500    77175.7500   100144.7500    90809.2500    69969.7500    79879.5000        1.0000        1.0000
    8982.50144     4707.0000        3.7500    21061.0000    18407.0000    14140.0000    17194.0000   102009.5000    92997.7500    72294.7500    82685.7500   107217.7500    97230.2500    74590.7500    85920.5000        2.0000        1.0000
    8983.00217     4705.0000        2.7500    28515.0000    24610.0000    19418.0000    23067.0000   110619.5000    99447.7500    78368.7500    89369.7500   116832.7500   104310.2500    81206.7500    93171.5000        1.0000        1.0000
    8983.49729     4701.0000        3.7500    39830.0000    34575.0000    27251.0000    32620.0000   122997.5000   110499.7500    87639.7500   100383.7500   131024.7500   116697.2500    91246.7500   105386.5000        1.0000        1.0000
    8983.99806     4711.0000        2.7500    47542.0000    40949.0000    32189.0000    38698.0000   131536.5000   118626.7500    93292.7500   107433.7500   140645.7500   125607.2500    97295.7500   113346.5000        2.0000        1.0000
    8984.49885     4699.0000        2.7500    46852.0000    40800.0000    31817.0000    38271.0000   130950.5000   117243.7500    93053.7500   107112.7500   139966.7500   124324.2500    97145.7500   112968.5000        1.0000        1.0000
    8984.99965     4682.0000        2.7500    41236.0000    35884.0000    28128.0000    34056.0000   124080.5000   112132.7500    88329.7500   101938.7500   132171.7500   118622.2500    91958.7500   107000.5000        1.0000        1.0000
    8985.50047     4703.0000        3.7500    38458.0000    33469.0000    26169.0000    31898.0000   121479.5000   109773.7500    86173.7500    99526.7500   129113.7500   115731.2500    89730.7500   104306.5000        1.0000        1.0000
    8986.00131     4701.0000        2.7500    37866.0000    32883.0000    25806.0000    30720.0000   120880.5000   108692.7500    85935.7500    98366.7500   128189.7500   114705.2500    89273.7500   103162.5000        1.0000        1.0000
    8986.50217     4701.0000        2.7500    38679.0000    33676.0000    26157.0000    31969.0000   121749.5000   109493.7500    86314.7500    99694.7500   129422.7500   115471.2500    89813.7500   104577.5000        1.0000        1.0000
    8986.99742     4705.0000        3.7500    40740.0000    35191.0000    27514.0000    33041.0000   123718.5000   111153.7500    87490.7500   100972.7500   131624.7500   117289.2500    90959.7500   106151.5000        1.0000        1.0000
    8987.49831     4707.0000        2.7500    41915.0000    36684.0000    28500.0000    34677.0000   125322.5000   113578.7500    88680.7500   102700.7500   133485.7500   120038.2500    92332.7500   108014.5000        1.0000        1.0000
    8987.99922     4696.0000        2.7500    43192.0000    37422.0000    29582.0000    35486.0000   126489.5000   113912.7500    89900.7500   103476.7500   134668.7500   120367.2500    93674.7500   108693.5000        1.0000        1.0000
    8988.50015     4696.0000        2.7500    44569.0000    39112.0000    30739.0000    36850.0000   128702.5000   115737.7500    91612.7500   105016.7500   137441.7500   122438.2500    95525.7500   110522.5000        1.0000        1.0000
    8989.00110     4702.0000        2.7500    46039.0000    40038.0000    31397.0000    37929.0000   130234.5000   116786.7500    91869.7500   106375.7500   139031.7500   123779.2500    95827.7500   112190.5000        1.0000        1.0000
